gap,inflect,slope,season,gap
0,65.159372,-3.167429,1940,0
54,74.634987,-1.424145,1941,0
55,75.151316,-1.297864,1942,0
,,,1943,0
,,,1944,0
,,,1945,0
,,,1946,0
,,,1947,0
,,,1948,0
,,,1949,0
,,,1950,0
,,,1951,0
,,,1952,0
,,,1953,0
,,,1954,0
,,,1955,0
,,,1956,0
,,,1957,0
,,,1958,0
,,,1959,0
,,,1960,0
,,,1961,0
,,,1962,0
,,,1963,0
,,,1964,0
,,,1965,0
,,,1966,0
,,,1967,0
,,,1968,0
,,,1969,0
,,,1970,0
,,,1971,1
,,,1972,1
,,,1973,1
,,,1974,1
,,,1975,1
,,,1976,1
,,,1977,1
,,,1978,1
,,,1979,1
,,,1980,1
,,,1981,1
,,,1982,1
,,,1983,1
,,,1984,1
,,,1985,1
,,,1986,1
,,,1987,1
,,,1988,1
,,,1989,1
,,,1990,1
,,,1991,1
,,,1992,1
,,,1993,1
,,,1994,1
,,,1995,1
,,,1996,1
,,,1997,1
,,,1998,1
,,,1999,1
,,,2000,1
,,,2001,1
,,,2002,1
,,,2003,1
,,,2004,1
,,,2005,1
,,,2006,1
,,,2007,1
,,,2008,1
,,,2009,2
,,,2010,2
,,,2011,2
,,,2012,2
,,,2013,2
,,,2014,2
,,,2015,2
,,,2016,2
,,,2017,2
,,,2018,2
,,,2019,2
,,,2020,2
,,,2021,2
,,,2022,2
,,,2023,1
,,,2024,1
,,,2025,1
,,,2026,1
,,,2027,1
,,,2028,1
,,,2029,1
,,,2030,1
,,,2031,1
,,,2032,1
,,,2033,1
,,,2034,1
,,,2035,1
,,,2036,1
,,,2037,1
,,,2038,1
,,,2039,1
,,,2040,1
,,,2041,1
,,,2042,1
