"timelag","month2","year","Vol","Cmon"
1,1,2010,NA,NA
1.5,1.5,2010,NA,NA
2,2,2010,NA,NA
2.5,2.5,2010,NA,NA
3,3,2010,NA,NA
3.5,3.5,2010,NA,NA
4,4,2010,NA,NA
4.5,4.5,2010,NA,NA
5,5,2010,NA,NA
5.5,5.5,2010,NA,NA
6,6,2010,NA,NA
6.5,6.5,2010,NA,NA
7,7,2010,NA,NA
7.5,7.5,2010,NA,NA
8,8,2010,NA,NA
8.5,8.5,2010,NA,NA
9,9,2010,NA,NA
9.5,9.5,2010,NA,NA
10,10,2010,NA,NA
10.5,10.5,2010,NA,NA
11,11,2010,NA,NA
11.5,11.5,2010,NA,0.0467289719626168
12,12,2010,NA,0.0474788174636694
12.5,12.5,2010,NA,0.048228662964722
13,1,2011,NA,0.0489785084657745
13.5,1.5,2011,NA,0.0359745517640254
14,2,2011,NA,0.0439039908100249
14.5,2.5,2011,NA,0.0412235042597308
15,3,2011,NA,0.046106221178379
15.5,3.5,2011,NA,0.0509889380970272
16,4,2011,NA,0.0558716550156755
16.5,4.5,2011,NA,0.0607543719343237
17,5,2011,NA,0.0656370888529719
17.5,5.5,2011,NA,0.0705198057716202
18,6,2011,NA,0.0754025226902684
18.5,6.5,2011,NA,0.0802852396089166
19,7,2011,NA,0.0851679565275649
19.5,7.5,2011,NA,0.0900506734462131
20,8,2011,NA,0.0949333903648613
20.5,8.5,2011,NA,0.0998161072835096
21,9,2011,NA,0.104698824202158
21.5,9.5,2011,NA,0.109581541120806
22,10,2011,NA,0.114464258039454
22.5,10.5,2011,NA,0.119346974958102
23,11,2011,NA,0.124229691876751
23.5,11.5,2011,NA,0.0260171495208033
24,12,2011,NA,0.0393359628238755
24.5,12.5,2011,NA,0.0043010752688172
25,1,2012,NA,0.0544562267344173
25.5,1.5,2012,NA,0.069758799765676
26,2,2012,NA,0.112571867283029
26.5,2.5,2012,NA,0.297908988701898
27,3,2012,NA,0.177389433152013
27.5,3.5,2012,NA,0.0666983816130517
28,4,2012,NA,0.160611005753103
28.5,4.5,2012,NA,0.146290605005252
29,5,2012,NA,0.492447790116557
29.5,5.5,2012,NA,0.287503949454562
