year,area,tstep,sex,min,max,bio
1992,4 6 8,1 7,F,76,200,ovig
1993,4 6 8,1 7,F,77,105,set
1994,4 6 8,1 7,F,77,105,set
1995,4 6 8,1 7,F,77,105,set
1996,4 6 8,1 7,F,77,105,set
1997,4 6 8,1 7,F,77,105,set
1998,4 6 8,1 7,F,77,105,set
1999,4 6 8,1 7,F,77,105,set
2000,4 6 8,1 7,F,77,105,set
2001,4 6 8,1 7,F,77,105,set
2002,4 6 8,1 7,F,77,105,set
2003,4 6 8,1 7,F,77,105,set
2004,4 6 8,1 7,F,77,105,set
2005,4 6 8,1 7,F,77,105,set
2006,4 6 8,1 7,F,77,105,set
2007,4 6 8,1 7,F,77,105,set
2008,4 6 8,1 7,F,77,95,set
2009,4 6 8,1 7,F,77,95,set
2010,4 6 8,1 7,F,77,95,set
2011,4 6 8,1 7,F,77,95,set
2012,4 6 8,1 7,F,77,95,set
2013,4 6 8,1 7,F,77,95,set
2014,4 6 8,1 7,F,77,95,tar
2015,4 6 8,1 7,F,76,95,tar
2016,4 6 8,1 7,F,76,200,tar
1992,2,1 7,F,76,200,ovig
1993,2,1 7,F,77,115,set
1994,2,1 7,F,77,115,set
1995,2,1 7,F,77,115,set
1996,2,1 7,F,77,115,set
1997,2,1 7,F,77,115,set
1998,2,1 7,F,77,115,set
1999,2,1 7,F,77,115,set
2000,2,1 7,F,77,115,set
2001,2,1 7,F,77,115,set
2002,2,1 7,F,77,115,set
2003,2,1 7,F,77,115,set
2004,2,1 7,F,77,115,set
2005,2,1 7,F,77,115,set
2006,2,1 7,F,77,115,set
2007,2,1 7,F,77,115,set
2008,2,1 7,F,77,115,set
2009,2,1 7,F,77,105,set
2010,2,1 7,F,77,105,set
2011,2,1 7,F,77,105,set
2012,2,1 7,F,77,105,set
2013,2,1 7,F,77,105,set
2014,2,1 7,F,77,105,tar
2015,2,1 7,F,76,105,tar
2016,2,1 7,F,76,200,tar
1992,2 4 6 8,1 2 3 4 5 6 7,M,76,200,none
1993,2 4 6 8,1 7,M,77,200,none
1994,2 4 6 8,1 7,M,77,200,none
1995,2 4 6 8,1 7,M,77,200,none
1996,2 4 6 8,1 7,M,77,200,none
1997,2 4 6 8,1 7,M,77,200,none
1998,2 4 6 8,1 7,M,77,200,none
1999,2 4 6 8,1 7,M,77,200,none
2000,2 4 6 8,1 7,M,77,200,none
2001,2 4 6 8,1 7,M,77,200,none
2002,2 4 6 8,1 7,M,77,200,none
2003,2 4 6 8,1 7,M,77,200,none
2004,2 4 6 8,1 7,M,77,200,none
2005,2 4 6 8,1 7,M,77,200,none
2006,2 4 6 8,1 7,M,77,200,none
2007,2 4 6 8,1 7,M,77,200,none
2008,2 4 6 8,1 7,M,77,200,none
2009,2 4 6 8,1 2 3 4 5 6 7,M,77,200,none
2010,2 4 6 8,1 2 3 4 5 6 7,M,77,200,none
2011,2 4 6 8,1 2 3 4 5 6 7,M,77,200,none
2012,2 4 6 8,1 2 3 4 5 6 7,M,77,200,none
2013,2 4 6 8,1 2 3 4 5 6 7,M,77,200,none
2014,2 4 6 8,1 2 3 4 5 6 7,M,77,200,none
2015,2 4 6 8,1 2 3 4 5 6 7,M,76,200,none
1992,4 6 8,2 3 4 5 6,F,76,200,ovig
